iter	MultiClass
0	0.9864709832
1	0.8983451405
2	0.8217080353
3	0.7585407554
4	0.7071277938
5	0.6674679826
6	0.6267750797
7	0.5970966405
8	0.5722080528
9	0.5441621308
10	0.5239610425
11	0.5038092709
12	0.4868515728
13	0.4695006441
14	0.4562029911
15	0.4457306216
16	0.4344683066
17	0.4254261635
18	0.4149249656
19	0.4086257358
20	0.4005888577
21	0.3937357097
22	0.3900887345
23	0.3857495225
24	0.3781748712
25	0.3710072448
26	0.3662644819
27	0.3610195216
28	0.3575519715
29	0.3528714393
30	0.3495480122
31	0.3456084879
32	0.3430185984
33	0.3395000932
34	0.3371034047
35	0.3347727332
36	0.3322027372
37	0.3297694808
38	0.3275597487
39	0.3253748631
40	0.3240822137
41	0.3225808279
42	0.320955211
43	0.3193187514
44	0.3176919766
45	0.3167940703
46	0.3160385294
47	0.3147657304
48	0.3136759746
49	0.3127810965
50	0.3123181261
51	0.3122653196
52	0.3115453065
53	0.3104518228
54	0.3093951217
55	0.3085236158
56	0.3076360837
57	0.30673906
58	0.3066596681
59	0.3056635682
60	0.3048063344
61	0.3040631396
62	0.3038356658
63	0.3030795604
64	0.302424438
65	0.3017993375
66	0.3014144474
67	0.3009910121
68	0.3000984718
69	0.2992313013
70	0.29864928
71	0.2976562447
72	0.2967498798
73	0.2961101894
74	0.2953901742
75	0.2947103052
76	0.2942894131
77	0.2940546997
78	0.2935259782
79	0.2931039551
80	0.2924301058
81	0.2920091149
82	0.291674349
83	0.2913007373
84	0.2907151389
85	0.2900791912
86	0.2895603977
87	0.2891122839
88	0.2883251612
89	0.2880448581
90	0.2877587909
91	0.2874776803
92	0.2870773939
93	0.2865012812
94	0.2862233498
95	0.2858198616
96	0.2853287346
97	0.2849779921
98	0.2841699293
99	0.2839343028
100	0.2834959961
101	0.2826989312
102	0.2819143669
103	0.2816192846
104	0.2811327318
105	0.2807589777
106	0.2803638693
107	0.2799835464
108	0.2795696569
109	0.2791019027
110	0.278650633
111	0.2780097896
112	0.2776145548
113	0.2771185506
114	0.2768053535
115	0.2762314309
116	0.2758794009
117	0.2754985854
118	0.2751768924
119	0.2747238246
120	0.2743550666
121	0.2739112645
122	0.2736662075
123	0.2734061228
124	0.273031895
125	0.2726985886
126	0.2721995896
127	0.2718873451
128	0.2715157411
129	0.2711029938
130	0.2709028373
131	0.2704442685
132	0.2700489272
133	0.2695618464
134	0.2692364056
135	0.2688088074
136	0.2683434477
137	0.2680201628
138	0.2677724644
139	0.267445068
140	0.2670211257
141	0.2666585493
142	0.2664350276
143	0.2661077923
144	0.2659080701
145	0.2656579688
146	0.2653826757
147	0.2651429078
148	0.2648387499
149	0.2644158078
150	0.2641969921
151	0.2639372977
152	0.263575372
153	0.2632434599
154	0.2629293474
155	0.262598046
156	0.2620161876
157	0.2617582048
158	0.2614486945
159	0.2613338846
160	0.2611148175
161	0.2607933518
162	0.2606510849
163	0.2604426789
164	0.2602625616
165	0.2600152465
166	0.2597190669
167	0.259511543
168	0.2591604129
169	0.258969868
170	0.2588170106
171	0.2585833418
172	0.2582889307
173	0.2580698317
174	0.2578539504
175	0.2576818277
176	0.2574811107
177	0.2573163595
178	0.2570890449
179	0.2568276994
180	0.2565691456
181	0.2563331919
182	0.2560206652
183	0.255803295
184	0.2554807986
185	0.2552662469
186	0.255024746
187	0.2546247144
188	0.2543298317
189	0.2541120291
190	0.2539055182
191	0.253762719
192	0.2534997802
193	0.2533012728
194	0.2530154244
195	0.2528049587
196	0.2525501307
197	0.2522771323
198	0.2521192904
199	0.2520022098
200	0.2518253146
201	0.2515581072
202	0.251358733
203	0.2512118478
204	0.2509671285
205	0.2507853573
206	0.2506213446
207	0.2503590185
208	0.2501942867
209	0.2500190802
210	0.2497697649
211	0.2496012851
212	0.2493112045
213	0.2490094017
214	0.2488259013
215	0.248621342
216	0.2483352174
217	0.2481367921
218	0.2479498644
219	0.2477815935
220	0.247528624
221	0.247350238
222	0.2471247205
223	0.2469111114
224	0.2466529188
225	0.2464829351
226	0.2463509205
227	0.2461724179
228	0.2459976312
229	0.2457475153
230	0.245559354
231	0.2453638339
232	0.2452306923
233	0.2449394324
234	0.2447093365
