iter	Passed	Remaining
0	2	1871
1	7	2866
2	15	3804
3	21	4012
4	28	4111
5	34	4243
6	41	4310
7	44	4025
8	50	4091
9	57	4178
10	59	3951
11	66	3990
12	72	4028
13	79	4081
14	85	4131
15	92	4151
16	98	4184
17	105	4203
18	112	4243
19	119	4274
20	126	4314
21	133	4333
22	136	4245
23	141	4206
24	149	4238
25	156	4264
26	163	4287
27	170	4317
28	178	4345
29	187	4418
30	195	4454
31	203	4475
32	210	4492
33	218	4508
34	226	4534
35	234	4557
36	242	4583
37	250	4605
38	258	4617
39	266	4628
40	269	4570
41	276	4566
42	284	4581
43	292	4602
44	301	4626
45	305	4577
46	312	4587
47	320	4596
48	328	4604
49	333	4581
50	337	4534
51	340	4472
52	347	4477
53	355	4486
54	363	4496
55	371	4512
56	380	4537
57	389	4552
58	393	4511
59	401	4518
60	406	4498
61	414	4500
62	417	4461
63	425	4469
64	433	4476
65	441	4480
66	449	4484
67	456	4487
68	465	4499
69	473	4505
70	481	4507
71	489	4516
72	498	4529
73	507	4537
74	515	4543
75	523	4544
76	531	4548
77	537	4533
78	546	4541
79	554	4545
80	562	4551
81	570	4553
82	579	4557
83	587	4562
84	595	4563
85	605	4574
86	614	4587
87	624	4595
88	632	4601
89	641	4605
90	650	4607
91	658	4612
92	667	4613
93	676	4621
94	685	4626
95	693	4621
96	701	4619
97	708	4615
98	717	4617
99	725	4614
100	734	4615
101	742	4614
102	750	4615
103	759	4615
104	768	4616
105	776	4614
106	784	4612
107	792	4610
108	800	4607
109	809	4603
110	817	4600
111	824	4594
112	833	4592
113	841	4589
114	849	4587
115	858	4587
116	867	4588
117	876	4588
118	883	4582
119	891	4578
120	899	4572
121	907	4568
122	915	4563
123	923	4560
124	932	4555
125	940	4555
126	949	4554
127	958	4554
128	966	4549
129	974	4544
130	982	4538
131	990	4533
132	998	4526
133	1006	4521
134	1014	4515
135	1022	4509
136	1029	4502
137	1037	4496
138	1044	4487
139	1052	4479
140	1059	4470
141	1066	4459
142	1073	4450
143	1080	4442
144	1088	4435
145	1095	4425
146	1102	4417
147	1109	4406
148	1116	4397
149	1122	4386
150	1130	4378
151	1137	4369
152	1145	4363
153	1151	4350
154	1157	4340
155	1164	4328
156	1170	4317
157	1177	4308
158	1184	4298
159	1191	4288
160	1197	4277
161	1204	4266
